Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-07:00;05.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-10:00;05.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-13:00;05.01.2003-14:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-16:00;05.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-19:00;05.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-22:00;05.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-01:00;06.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-04:00;06.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-07:00;06.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-10:00;06.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-13:00;06.01.2003-14:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-16:00;06.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-19:00;06.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;06.01.2003-22:00;06.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-01:00;07.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-04:00;07.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-07:00;07.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-10:00;07.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-13:00;07.01.2003-14:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-16:00;07.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-19:00;07.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;07.01.2003-22:00;07.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-01:00;08.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-04:00;08.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-07:00;08.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-10:00;08.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-13:00;08.01.2003-14:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-16:00;08.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-19:00;08.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;08.01.2003-22:00;08.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-01:00;09.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-04:00;09.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-07:00;09.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-10:00;09.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-13:00;09.01.2003-14:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-16:00;09.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-19:00;09.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;09.01.2003-22:00;09.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-01:00;10.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-04:00;10.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-07:00;10.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-10:00;10.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-13:00;10.01.2003-14:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-16:00;10.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-19:00;10.01.2003-20:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;10.01.2003-22:00;10.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;11.01.2003-01:00;11.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;11.01.2003-04:00;11.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;11.01.2003-07:00;11.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;11.01.2003-16:00;11.01.2003-17:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;11.01.2003-22:00;11.01.2003-23:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-01:00;12.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-04:00;12.01.2003-05:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-07:00;12.01.2003-08:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-10:00;12.01.2003-11:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;12.01.2003-13:00;12.01.2003-14:00;1;;eor;                                                                                                                     
