Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
6258;Friedrichshafen-Unterraderach;R1;11.01.2003-01:00;11.01.2003-02:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;11.01.2003-04:00;11.01.2003-05:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;11.01.2003-07:00;11.01.2003-08:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;11.01.2003-16:00;11.01.2003-17:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;11.01.2003-22:00;11.01.2003-23:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-01:00;12.01.2003-02:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-04:00;12.01.2003-05:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-07:00;12.01.2003-08:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-10:00;12.01.2003-11:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-13:00;12.01.2003-14:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-16:00;12.01.2003-17:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-19:00;12.01.2003-20:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.01.2003-22:00;12.01.2003-23:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;13.01.2003-01:00;13.01.2003-02:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;13.01.2003-04:00;13.01.2003-05:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;28.01.2003-07:00;28.01.2003-09:00;2;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;R1;12.03.2003-10:00;12.03.2003-11:00;1;;eor;                                                                                                                         
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-01:00;05.01.2003-02:00;1;;eor;                                                                                                                     
6258;Friedrichshafen-Unterraderach;RS_IND;05.01.2003-04:00;05.01.2003-05:00;1;;eor;                                                                                                                     
